"","i","year","count","total","coords.x1","coords.x2","optional","state.prov","county","sample.date","yr.suspect","yr.confirm","wns.map.yr","users","status","date","clean_log"
"1","https://www.geocaching.com/geocache/GC10DYD_dunbar-cave-earthcache",2010,10,5,-86.5994444444444,36.555,TRUE,"Tennessee","Sumner"," ",2013-01-01,NA,2013-01-01,"bucketto","Found it",2012-12-30,"Found this one a while back, but just found the answers to the questions today. My wife and I took a trek around the paths that were there. Also enjoyed to learn about the past of the recent past of the cave. Definitely could see myself ""cuttin a rug"" there back in the day."
"2","https://www.geocaching.com/geocache/GC10DYD_dunbar-cave-earthcache",2010,10,5,-86.5994444444444,36.555,TRUE,"Tennessee","Sumner"," ",2013-01-01,NA,2013-01-01,"trimorph","Found it",2012-12-27,"Capstone cache for a nice afternoon of geocaching. Email sent"
"3","https://www.geocaching.com/geocache/GC10DYD_dunbar-cave-earthcache",2010,10,5,-86.5994444444444,36.555,TRUE,"Tennessee","Sumner"," ",2013-01-01,NA,2013-01-01,"waterwolfman","Found it",2012-11-24,"waterwolfman with gps at enterance to dunbar cave! also recommend other totake the recovery trail for a nice hike, very beautiful!"
"4","https://www.geocaching.com/geocache/GC10DYD_dunbar-cave-earthcache",2010,10,5,-86.5994444444444,36.555,TRUE,"Tennessee","Sumner"," ",2013-01-01,NA,2013-01-01,"illinitrekker","Found it",2012-11-08,"Wow, what a cool place! I cannot believe this gem is tucked away in the middle of Clarksville. The history of this place, including the recreational aspects of it, is fascinating. I had to call my father and tell him about the Roy Acuff connection. He believes he heard about this on a television program. I was surprised to find turtles out on logs in the cool. They were not getting any sun at this point. The only regret I have is not being able to slip at least a little bit into the cave. I hope the bat disease problem clears up so tours can be restarted. I would love to take one. Required information e-mailed to CO."
"5","https://www.geocaching.com/geocache/GC10DYD_dunbar-cave-earthcache",2010,10,5,-86.5994444444444,36.555,TRUE,"Tennessee","Sumner"," ",2013-01-01,NA,2013-01-01,"Groundhog25","Found it",2012-09-17,"TFTC Email sent to CO with answers."
"6","https://www.geocaching.com/geocache/GC10DYD_dunbar-cave-earthcache",2010,10,5,-86.5994444444444,36.555,TRUE,"Tennessee","Sumner"," ",2013-01-01,NA,2013-01-01,"texdog","Found it",2012-09-15,"I love geocaching. It takes you places you never would have gone to. Beautiful walk this morning. Met some delightful Asian women out for exercise who took my picture. TFTC PM to follow."
"7","https://www.geocaching.com/geocache/GC10DYD_dunbar-cave-earthcache",2010,10,5,-86.5994444444444,36.555,TRUE,"Tennessee","Sumner"," ",2013-01-01,NA,2013-01-01,"Markrobin","Found it",2012-09-15,"The cave is closed due to the bats having white nose syndrome."
"8","https://www.geocaching.com/geocache/GC10DYD_dunbar-cave-earthcache",2010,10,5,-86.5994444444444,36.555,TRUE,"Tennessee","Sumner"," ",2013-01-01,NA,2013-01-01,"CTM2010","Found it",2012-09-02,"Found with dad our first earth cache. He sent the email."
"9","https://www.geocaching.com/geocache/GC10DYD_dunbar-cave-earthcache",2010,10,5,-86.5994444444444,36.555,TRUE,"Tennessee","Sumner"," ",2013-01-01,NA,2013-01-01,"UncleDirtyMike5224","Found it",2012-09-02,"Found with CTM2010. Our first earth cache. TFTC...."
"10","https://www.geocaching.com/geocache/GC10DYD_dunbar-cave-earthcache",2010,10,5,-86.5994444444444,36.555,TRUE,"Tennessee","Sumner"," ",2013-01-01,NA,2013-01-01,"hatchman80","Found it",2012-08-23,"Tftc! Been looking at getting this one for a long time."
"11","https://www.geocaching.com/geocache/GC10DYD_dunbar-cave-earthcache",2010,10,5,-86.5994444444444,36.555,TRUE,"Tennessee","Sumner"," ",2013-01-01,NA,2013-01-01,"TheQuailBirds","Found it",2012-08-23,"Found it while doing some more morning p.t.!"
"12","https://www.geocaching.com/geocache/GC10DYD_dunbar-cave-earthcache",2010,10,5,-86.5994444444444,36.555,TRUE,"Tennessee","Sumner"," ",2013-01-01,NA,2013-01-01,"Cyclops","Found it",2012-08-12,"No work this weekend so it's out for a caching weekend. Starting off with a couple of events and will end in Clarksville. Today I'm caching around Clarksville before I head back to Spring Hill. Cool area. Too bad no tours today. Much more normal temps and sunny today. TFTEC"
"13","https://www.geocaching.com/geocache/GC10DYD_dunbar-cave-earthcache",2010,10,5,-86.5994444444444,36.555,TRUE,"Tennessee","Sumner"," ",2013-01-01,NA,2013-01-01,"Eder-Ents","Found it",2012-07-22,"A quick find in the early evening. Being a caver for many years I had hoped that I'd be able to enjoy a visit into the depths of this chasm, but not luck. TFTC"
"14","https://www.geocaching.com/geocache/GC10DYD_dunbar-cave-earthcache",2010,10,5,-86.5994444444444,36.555,TRUE,"Tennessee","Sumner"," ",2013-01-01,NA,2013-01-01,"indyalea","Found it",2012-07-03,"An extremely hot day, but a beautiful place. So sad the tours are stopped indefinately. :( The little museum place is pretty cool though!"
"15","https://www.geocaching.com/geocache/GC10DYD_dunbar-cave-earthcache",2010,10,5,-86.5994444444444,36.555,TRUE,"Tennessee","Sumner"," ",2013-01-01,NA,2013-01-01,"Natureclan9","Found it",2012-06-17,"First of all thank you for this wonderful cache. My wife, kids, and I had a great time. We started off going to coordinates, and then we left from there to do the short loop trail. Finally we finished off with an exploration of the visitor’s center. We were all fascinated and we look forward to the day when those little winged critters are better again so that we can go on a tour of the cave."
"16","https://www.geocaching.com/geocache/GC10DYD_dunbar-cave-earthcache",2010,10,5,-86.5994444444444,36.555,TRUE,"Tennessee","Sumner"," ",2013-01-01,NA,2013-01-01,"keithnl","Found it",2012-06-06,"Cave is closed but a nice walk!"
"17","https://www.geocaching.com/geocache/GC10DYD_dunbar-cave-earthcache",2010,10,5,-86.5994444444444,36.555,TRUE,"Tennessee","Sumner"," ",2013-01-01,NA,2013-01-01,"nukeworker","Found it",2012-06-01,"Heading home to Arkansas after attending GeoWoodstock while doing some caching and exploring. Beautiful park with a fun earthcache to visit. We watched a Great Blue Heron for a while as he attempted to catch a fish. Email has been sent to hopefully qualify us to claim the smiley. Thanks for the cache, Nukeworker and Racquetball Girl"
"18","https://www.geocaching.com/geocache/GC10DYD_dunbar-cave-earthcache",2010,10,5,-86.5994444444444,36.555,TRUE,"Tennessee","Sumner"," ",2013-01-01,NA,2013-01-01,"4everlookin","Found it",2012-04-26,"I was in the area picking up some caches and just had to get this one! I think this is an awesome spot for an Earthcache! I was also amazed to see how extensive it was! Thanks for cache! 4everlookin, 4everfinding:)"
"19","https://www.geocaching.com/geocache/GC10DYD_dunbar-cave-earthcache",2010,10,5,-86.5994444444444,36.555,TRUE,"Tennessee","Sumner"," ",2013-01-01,NA,2013-01-01,"fullofcars","Found it",2012-04-14,"Cool breeze"
